State ID,State,Section Title,Section Intro,Card Type,Category,Name,Description,Focus,Services,Locations,Single Location,Phone,Email,Website,Cost Estimate
illinois,Illinois,Provider Directory,,Provider,,Life's Plan Inc.,Chicago-area coordination for organ donation and family-led home vigils.,,"Organ donation coordination, family-led home vigils, and comprehensive planning.","Chicago, IL and surrounding areas",,(630) 628-7189,,lifesplaninc.org,"$1,000 - $3,200 for comprehensive planning and bedside presence."
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Natural Organic Reduction (NOR) / Human Composting,Earth Funeral,"The primary NOR provider for California residents. They utilize a state-of-the-art facility to transform remains into soil in about 45 days. They handle all logistics, including pickup from any California county and transport to their regional facility.",,"Natural Organic Reduction (Human Composting), statewide pickup and transport, family guidance.",Serving all California counties (Statewide),,(818) 696-2358,,earthfuneral.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Natural Organic Reduction (NOR) / Human Composting,Recompose,"While their facility is in Washington, they are a popular choice for Californians and offer a ""Precompose"" program to coordinate out-of-state transport.",,"Natural Organic Reduction, out-of-state transport coordination, Precompose pre-planning program.",Facility in Washington; serves California via transport,,,,recompose.life,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Aquamation (Water Cremation),Anubis Cremations,"A specialized provider that serves every county in California. They lead with a ""virtual witnessing"" option and a focus on transparency.",,"Eco-friendly water cremation, virtual witnessing, statewide coordination.",Serving all California counties (Statewide),,(323) 644-3323,,anubiscremations.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Aquamation (Water Cremation),Simply Remembered,"Based in Santa Barbara but serves a wide regional area, focusing specifically on eco-friendly water cremation.",,"Aquamation (Water Cremation), regional transport.","Santa Barbara, CA (serves wide regional area)",,(805) 569-7000,,simplyremembered.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Aquamation (Water Cremation),Bravo Family Mortuary,"A San Diego-based leader in the ""Green Funeral"" movement, offering on-site Alkaline Hydrolysis.",,"Aquamation (Alkaline Hydrolysis), green funeral preparation.","San Diego, CA",,,,bravofamilymortuary.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Green and Conservation Burial Grounds,Fernwood Cemetery,California's most famous conservation burial ground. Adjacent to a national recreation area and managed for forest health.,,"Conservation burial, natural burial, scenic forest interment.","Mill Valley, CA",,,,fernwood.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Green and Conservation Burial Grounds,Morgan Oaks Eternal Preserve,A dedicated green burial park in Northern California that prioritizes the restoration of the oak savanna landscape.,,"Green burial, landscape restoration.","Lincoln, CA",,,,morganoaks.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Green and Conservation Burial Grounds,Purissima Cemetery,A historic cemetery recently established as a natural burial ground on the scenic San Mateo coast.,,Natural burial.,"Half Moon Bay, CA",,,,purissimacemetery.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Green and Conservation Burial Grounds,Joshua Tree Memorial Park,Features a dedicated section for natural burial near the National Park.,,Natural burial.,"Joshua Tree, CA",,,,joshuatreememorialpark.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Sea Burial (Full-Body and Scattering),Beyond the Sea Memorial Services,Specialized in both unattended and family-attended sea burials along the Southern California coast.,,"Full-body sea burial, ash scattering at sea, family-attended ceremonies.","Long Beach, CA",,(310) 923-8414,,burialsinthesea.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Sea Burial (Full-Body and Scattering),Sacred Crossings,"Noted for their expertise in ""Conscious Sea Burial,"" providing a ritual-heavy experience for full-body interment at sea.",,"Home Funerals, Conscious Dying, Conscious Sea Burial, full-body sea burial coordination.","Los Angeles, CA (Coastal)",,(310) 868-2444,,sacredcrossings.com,"$1,500 - $5,000 for full-service packages; $100 - $200 per hour for consultations."
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Whole-Body Donation (Willed Body Programs),University of California (UC) System,The gold standard for medical donation in California. You must typically register with the specific school in your region.,,Willed body donation for medical education and research.,UCLA: (310) 825-9507 | UCSF: (415) 476-1506 | UC Irvine: (949) 824-6061 | UC Davis: (916) 734-9560,,,,,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Whole-Body Donation (Willed Body Programs),Science Care,A private accredited whole-body donation organization that handles all transport and cremation costs.,,"Whole-body donation, transport, cremation, and ash return.",Nationwide (serves all California counties),,,,sciencecare.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Cryonics and Vitrification,Alcor Life Extension Foundation,"While their storage is in Arizona, they have heavy standby infrastructure in California for rapid vitrification.",,"Cryopreservation, standby team mobilization, vitrification, long-term storage.",Storage in Arizona; California standby teams,,,,alcor.org,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Cryonics and Vitrification,Cryonics Institute,Offers standby and transport services for California members to their Michigan facility.,,"Cryopreservation, standby and transport.",Facility in Michigan; serves California members,,,,cryonics.org,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Provider,Living Reef Memorials,Eternal Reefs,"They partner with local California funeral homes to take cremated remains and incorporate them into ""reef balls"" for marine habitat restoration.",,"Reef ball casting, deployment, GPS memorial coordinates.",Partners with local CA funeral homes,,,,eternalreefs.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Attorney,Attorneys,Law Offices of Daniel A. Hunt,,Experts in Health & Safety Code 7100 disputes and pre-planning for complex disposition wishes.,,,Sacramento / Folsom,(916) 488-9788,,dhtrustlaw.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Attorney,Attorneys,"The Elder & Disability Law Firm, APC",,Specialized in Advance Directives and protecting the rights of individuals choosing alternative exits.,,,Redlands / Riverside,(909) 677-2671,,california-elder-law.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Attorney,Attorneys,"Frisella Neilson, APC",,Focuses on Incapacity Planning and ensuring post-death agents are properly empowered for non-traditional burials.,,,San Diego,(619) 260-3500,,frisellalaw.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Attorney,Attorneys,"Steven M. Sweat, APC",,Specialists in Funeral Home Negligence and ensuring providers honor specific green/alternative contracts.,,,Los Angeles / Glendale,(310) 592-0445,,victimslawyer.com,
california,California,Provider Directory,"California is a major hub for eco-friendly death care, so many of these providers serve the entire state via specialized transport.",Attorney,Attorneys,"Kazerouni Law Group, APC",,"Consumer Protection specialists who assist with disputes regarding overcharging or ""The Funeral Rule"" violations.",,,Costa Mesa / SF,(800) 400-6808,,kazlg.com,
washington,Washington,Provider Directory,,Provider,,A Sacred Moment (Char Barrett),"PNW leaders in Home Funerals, Green Burial, and coordinating with NOR facilities.",,"Home Funerals, Green Burial, and coordinating with NOR facilities.",Serving Washington statewide,,(425) 316-8290,,asacredmoment.com,"$1,200 - $4,000 for full-service vigil support."
